article_id,score
2,0.0776537
4,0.33181697
10,0.056981485
13,0.06245292
26,0.086385556
27,0.091028936
30,0.30029428
36,0.08278612
54,0.09169477
60,0.050561473
64,0.24111886
67,0.09178078
68,0.113987446
71,0.059169784
72,0.10455697
81,0.059823282
82,0.08691
83,0.13517301
87,0.09403307
91,0.061075617
92,0.062545605
93,0.113069765
97,0.08625723
102,0.15458094
103,0.07015995
106,0.18871292
111,0.0813051
113,0.086151645
115,0.07800134
117,0.066829436
118,0.05825979
121,0.1061528
122,0.056194372
127,0.13317671
128,0.10624658
129,0.14531207
130,0.08428659
133,0.23152333
137,0.060516566
142,0.051191658
144,0.1340077
148,0.10512276
151,0.05820978
153,0.1005353
162,0.094550274
163,0.09748052
165,0.10824321
168,0.2524393
170,0.07791977
174,0.049605846
175,0.120044075
177,0.12812565
183,0.078819774
184,0.07574307
188,0.066387445
190,0.05084504
191,0.1618495
195,0.07216866
197,0.06322521
198,0.08086387
201,0.06647715
204,0.0867139
209,0.10341505
212,0.08306175
217,0.08264075
227,0.1953544
229,0.06655257
231,0.08116437
234,0.04604607
235,0.047997154
236,0.08994248
251,0.12709923
256,0.1319568
264,0.07341309
267,0.10012532
276,0.12337805
277,0.07437422
282,0.0793964
286,0.20059285
292,0.050477087
296,0.06370062
301,0.051064294
306,0.17700349
308,0.13502488
315,0.06840212
321,0.07715192
322,0.10012532
324,0.07638517
335,0.105469584
338,0.10808255
339,0.063562185
341,0.110434234
342,0.068556234
345,0.111953124
350,0.08133729
357,0.07127409
359,0.08663433
367,0.043060854
372,0.17078792
374,0.04944741
381,0.059449878
385,0.1276208
395,0.057935186
405,0.05513506
406,0.0874092
411,0.069707304
420,0.27338213
421,0.07694812
422,0.057587713
432,0.05648298
438,0.07603547
443,0.08414848
447,0.10806523
453,0.1056523
454,0.07050987
458,0.0914678
463,0.07340175
466,0.25119784
467,0.08021079
470,0.085252754
471,0.1451437
473,0.11246276
476,0.06283491
477,0.12351466
486,0.07334639
493,0.09403252
494,0.07312074
495,0.11592834
497,0.15594076
499,0.070856705
502,0.062331848
504,0.09904736
506,0.0677146
507,0.12070404
519,0.13660914
523,0.08194768
524,0.09500002
526,0.20094673
529,0.19220482
537,0.07157151
545,0.09225666
548,0.06352384
550,0.0661125
553,0.065325625
559,0.14815025
561,0.122905366
562,0.07501789
567,0.19109063
568,0.13698162
577,0.06647715
581,0.10005953
587,0.05787164
590,0.06561114
593,0.08703582
595,0.08926437
602,0.2576962
603,0.07228415
608,0.12805477
609,0.071253434
611,0.055502255
617,0.10927558
619,0.06842662
621,0.22845766
623,0.17593846
625,0.10370097
627,0.14224532
628,0.107932135
629,0.06714328
633,0.11560895
634,0.2212841
635,0.2572457
640,0.09483834
644,0.08335359
674,0.1055392
678,0.12337805
683,0.0661125
686,0.08660085
690,0.060908012
691,0.07233692
696,0.10395459
705,0.061557032
707,0.21443257
709,0.0693327
716,0.106244065
717,0.08726486
718,0.07266146
719,0.054698896
721,0.082387246
731,0.16314662
733,0.087437935
734,0.05322395
735,0.09147634
742,0.081661485
744,0.05584696
746,0.12731394
747,0.13192222
748,0.1154634
749,0.06232318
755,0.076272786
766,0.1355057
768,0.16209614
770,0.30879197
771,0.19843286
776,0.096161425
793,0.20457041
805,0.046490148
810,0.060090728
813,0.10822517
823,0.05997484
824,0.2526193
826,0.109324366
830,0.061820466
834,0.05371692
839,0.10493802
