article_id,score
2,0.195586
4,0.26469404
10,0.11763959
13,0.20652588
26,0.02895837
27,0.29747948
30,0.17847452
36,0.058721174
54,0.097471915
60,0.046487518
64,0.38525087
67,0.12490557
68,0.17746396
71,0.048284452
72,0.04292886
81,0.09913069
82,0.20436954
83,0.060762204
87,0.21882287
91,0.031332526
92,0.061500397
93,0.09027837
97,0.10545733
102,0.06596146
103,0.04848478
106,0.08582345
111,0.055990584
113,0.07557614
115,0.101625964
117,0.03677079
118,0.14811808
121,0.34088027
122,0.0649399
127,0.24389955
128,0.033220228
129,0.09897281
130,0.16226692
133,0.20125768
137,0.112709396
142,0.106964745
144,0.1583505
148,0.15294991
151,0.23817691
153,0.07282245
162,0.055197157
163,0.06711106
165,0.23697557
168,0.20110412
170,0.08880225
174,0.036883794
175,0.21638048
177,0.06800862
183,0.30858886
184,0.10759245
188,0.1858631
190,0.041171834
191,0.06970404
195,0.026617479
197,0.05291714
198,0.099780545
201,0.06397666
204,0.06289504
209,0.23967332
212,0.047231708
217,0.057365045
227,0.032435764
229,0.059545662
231,0.22870713
234,0.05618215
235,0.04915834
236,0.062311888
251,0.17837878
256,0.15372086
264,0.09392483
267,0.19323483
276,0.0593647
277,0.13192886
282,0.046911664
286,0.06801736
292,0.12677227
296,0.039093845
301,0.021264628
306,0.087631635
308,0.2799428
315,0.16772442
321,0.16640885
322,0.14057007
324,0.1500144
335,0.06180402
338,0.06314451
339,0.031091142
341,0.19218187
342,0.088674314
345,0.07604611
350,0.026810208
357,0.063429855
359,0.40455243
367,0.054260105
372,0.060681846
374,0.06349743
381,0.034131795
385,0.04463224
395,0.15992972
405,0.026215471
406,0.071944274
411,0.18456085
420,0.21985461
421,0.061920553
422,0.17499419
432,0.045617405
438,0.050015215
443,0.052628044
447,0.1276788
453,0.0836467
454,0.10988043
458,0.054965034
463,0.036959805
466,0.19330886
467,0.14279974
470,0.050103024
471,0.041170523
473,0.17375141
476,0.022372324
477,0.17703372
486,0.14999151
493,0.04785159
494,0.0797232
495,0.18080132
497,0.06616276
499,0.16580914
502,0.13756959
504,0.3425116
506,0.05924133
507,0.11427645
519,0.051032465
523,0.12053096
524,0.15438403
526,0.30373237
529,0.32991284
537,0.03294183
545,0.28172556
548,0.08142935
550,0.02763632
553,0.15974389
559,0.40594468
561,0.0766253
562,0.038357973
567,0.09640846
568,0.22489694
577,0.050555363
581,0.07760533
587,0.025325838
590,0.03613613
593,0.12127411
595,0.19742602
602,0.2616783
603,0.015978865
608,0.105273515
609,0.10495248
611,0.053068295
617,0.04799352
619,0.04894798
621,0.065878116
623,0.35305417
625,0.23275408
627,0.37615126
628,0.084288724
629,0.3526211
633,0.35759592
634,0.25229847
635,0.14236115
640,0.032481264
644,0.20233785
674,0.08278959
678,0.061378833
683,0.03770726
686,0.06535553
690,0.028062671
691,0.12233202
696,0.09106008
705,0.11460859
707,0.21094696
709,0.023256818
716,0.14111526
717,0.058602482
718,0.079535365
719,0.03173085
721,0.028958077
731,0.18554291
733,0.0826662
734,0.035829157
735,0.1371618
742,0.2395175
744,0.028871369
746,0.08186743
747,0.28267056
748,0.20709749
749,0.072881036
755,0.027427556
766,0.12888364
768,0.06818318
770,0.06189615
771,0.22101901
776,0.11372168
793,0.1823212
805,0.051638365
810,0.07163249
813,0.32758904
823,0.04595536
824,0.093651645
826,0.24143809
830,0.06213698
834,0.10792481
839,0.057811
841,0.07207551
843,0.05844285
845,0.08730485
849,0.063358374
850,0.092221364
852,0.28897145
856,0.0842349
860,0.12624721
864,0.06040701
